Date,RSI,12WMA%12EMA,12WMA%26EMA,12EMA%26EMA,50SMA%100SMA,50SMA%200SMA,100SMA%200SMA,SP500%12WMA,SP500%12EMA,SP500%26EMA,SP500%50SMA,SP500%100SMA,SP500%200SMA,SP500%3Upper,SP500%2Upper,SP500%Middle20Day,SP500%2Lower,SP500%3Lower,Div/10Yr-2Yr,SP500_corr_6Mo-3Mo_%_Ret,Fwd_SP500_%_Ret,SP500_ret_signal,SP500_pos_neg_ret_signal
1998-06-22,54.35258673948337,-0.060032474620535896,-0.1543541798712191,-0.09437836291744892,2.1867538302904146,8.70138439094667,6.375220188984196,1.2025742335098981,1.1418198238178372,1.046363830043202,0.5047512551956379,2.7025427528924824,9.250055993075009,-1.8879513294618768,-0.8235186878560032,1.376172555187328,3.675653481128469,4.864961444545682,-23.66666666666682,0.0350872888719774,3.102836879432624,4,1
1998-06-23,58.187874048862675,-0.07794038458962041,0.01299436732820247,0.09100568209644726,2.072483502194784,8.619947265294279,6.41452381528339,1.9685287626472565,1.8890540991692715,1.9817789278338387,1.575862314709241,3.6810053033936785,10.3316480805051,-1.31498304029176,-0.13102104741511011,2.324224884461802,4.903236375856214,6.242115992704675,-35.249999999999964,0.03500382022687604,1.4689761017320764,3,1
1998-06-24,62.04288986509249,-0.05583399947086967,0.2763863857758511,0.332405980800282,1.9786267444949348,8.535500956873072,6.429655332392574,2.6828009274443168,2.625469012917813,2.966602209741092,2.7668688163999478,4.800241567281263,11.53853588757226,-0.9693366201608816,0.429223981963769,3.3482967457376707,6.442140765503986,8.059581500037092,-46.333333333332945,0.038370141516350445,1.386481802426343,3,1
1998-06-25,61.378060309592215,0.011647192728016878,0.5178858056132275,0.5061796571649906,1.8819234214315628,8.439803869746925,6.436745821129508,2.0887335580016044,2.100624029552696,2.617436618228802,2.607704703483762,4.5387031304919585,11.267593735706882,-1.7261444647638209,-0.1940978748427507,3.017910814645978,6.443535488632158,8.243225766000686,-19.857142857142776,0.04126000069656122,1.0845986984815619,3,1
1998-06-26,63.74864202134197,0.11389042990525113,0.8104218207854982,0.6957390107299081,1.815669977012537,8.388002054145536,6.4551282514929875,2.287571548381819,2.404067303357912,3.1165323481614835,3.300545864641587,5.176142861995951,11.965397773711276,-1.7650278821649046,-0.05617923810170081,3.546304864045311,7.418203781393736,9.464808309374297,-27.600000000000097,0.04366496906665712,1.550387596899225,3,1
1998-06-29,64.30382769512165,0.24063585882995492,1.0920916816403254,0.8494118333501851,1.728903263745948,8.31820130336147,6.477311588164747,1.929564843660021,2.174843927423198,3.0427291424498137,3.429722482846946,5.217922330536264,12.03321500647827,-2.2606854836549832,-0.4223925238133963,3.469750889679715,7.678531328442878,9.913985794016977,-34.499999999999964,0.04374444760216986,1.0963026655202064,3,1
1998-06-30,61.272149998367176,0.3627008488061234,1.2833722535000196,0.9173441895319899,1.6363073628183293,8.240383412408935,6.497752841428574,1.024280484938044,1.3906964077571933,2.320798069979774,2.8705049723707856,4.553782619402084,11.347429000375337,-3.168916236475904,-1.2848748815252868,2.712060011540677,7.046321631424162,9.353582510123,-28.8000000000001,0.043884792011154514,2.895419187554019,4,1
1998-07-01,65.11028630869228,0.4713215211747882,1.5266326212255887,1.0503605248472707,1.5536162301680545,8.182875711429011,6.52784187048145,1.6532861045438247,2.1323999189359206,3.205158330763569,3.9745839905800717,5.58995000270744,12.482694970004605,-2.5125324865577463,-0.5851183695574989,3.507763082231176,7.952120133503696,10.320560659445825,-71.0000000000015,0.04388244366512502,0.9188034188034189,3,1
1998-07-02,62.542927618454534,0.5455650471836081,1.658603171761695,1.1069987264537875,1.4582633798087656,8.101138474134931,6.547396804396875,0.8809178864631715,1.4312889137297111,2.5541319902303607,3.5054129332900885,5.014794466216103,11.890529763241084,-3.3237264656481815,-1.3601520036563173,2.816419738104948,7.3623149292682255,9.789413480516206,-71.49999999999835,0.043199153301449966,1.502145922746781,3,1
1998-07-06,66.52328849021272,0.5861268177450942,1.828653747295165,1.2352865836075395,1.399188439197083,8.071946259785157,6.5806816832556025,1.637650205431576,2.2333757302115624,3.4962509045759522,4.672996763926435,6.137569233608431,13.122144811217234,-2.863533876232177,-0.732512304448366,3.8229110482459436,8.816544296717648,11.497936077742997,-35.249999999999964,0.0453895617037778,0.5725190839694656,3,1
