,Date,BAMLEMHBHYCRPIEY,EM Returns,EM_Bonds_20-day_Vol,EM_Bonds_50-day_Vol,EM_Bonds_100-day_Vol,EM_Bonds_21-day_MA,EM_Bonds_55-day_MA,EM_Bonds_100-day_MA
0,1998-12-31,14.92,,,,,,,
1,1999-01-04,14.9,-0.0013404825737265424,,,,,,
2,1999-01-05,14.89,-0.0006711409395973034,,,,,,
3,1999-01-06,14.79,-0.00671591672263272,,,,,,
4,1999-01-07,14.78,-0.0006761325219742931,,,,,,
5,1999-01-08,14.82,0.0027063599458727605,,,,,,
6,1999-01-11,14.93,0.007422402159244168,,,,,,
7,1999-01-12,14.96,0.002009377093101117,,,,,,
8,1999-01-13,16.22,0.08422459893048106,,,,,,
9,1999-01-14,16.74,0.0320591861898889,,,,,,
10,1999-01-15,16.71,-0.0017921146953403522,,,,,,
11,1999-01-18,16.72,0.0005984440454815942,,,,,,
12,1999-01-19,16.43,-0.01734449760765544,,,,,,
13,1999-01-20,16.26,-0.010346926354229957,,,,,,
14,1999-01-21,16.24,-0.0012300123001232066,,,,,,
15,1999-01-22,16.38,0.008620689655172376,,,,,,
16,1999-01-25,16.53,0.009157509157509347,,,,,,
17,1999-01-26,16.59,0.003629764065335772,,,,,,
18,1999-01-27,16.19,-0.024110910186859513,,,,,,
19,1999-01-28,16.18,-0.0006176652254479276,,,,,,
20,1999-01-29,16.04,-0.008652657601977753,34.89511277892369,,,15.820000000000002,,
21,1999-01-31,16.11,0.00436408977556102,34.84135770729689,,,15.876666666666669,,
22,1999-02-01,15.95,-0.009931719428926122,35.16424237039364,,,15.926666666666668,,
23,1999-02-02,15.89,-0.0037617554858933033,35.064025134670565,,,15.974285714285717,,
24,1999-02-03,15.77,-0.007551919446192601,35.265232055454895,,,16.02095238095238,,
25,1999-02-04,15.72,-0.003170577045022105,35.34378256659374,,,16.06571428571429,,
26,1999-02-05,15.74,0.0012722646310432406,35.31325139742715,,,16.109523809523814,,
27,1999-02-08,15.79,0.0031766200762388674,35.311903550931056,,,16.150476190476194,,
