,Date,Open,Close,Volume,10day_MA,10day_MA_Volume,USD/JPY_Spread,Ten_Year,VIX,USDJPY,Nikkei,Nikkei_next_day
43,1997-12-15,966.75,974.25,10702.0,983.325,5793.5,5.14844,5.78,27.37,131.08,15909.39,15985.21
44,1997-12-16,973.5,980.5,18717.0,982.775,7635.3,5.16016,5.77,26.11,130.87,15985.21,16541.06
45,1997-12-17,980.25,975.5,21658.0,981.475,9768.9,5.15525,5.81,26.33,127.0,16541.06,16161.64
46,1997-12-18,975.25,965.0,27932.0,979.175,12520.3,5.16406,5.76,27.19,128.53,16161.64,15314.89
47,1997-12-19,967.5,967.5,18.0,976.15,12470.9,5.19922,5.72,29.18,129.1,15314.89,14799.4
48,1997-12-22,969.25,973.5,18.0,973.925,12395.2,5.17969,5.72,28.56,130.38,14799.4,14924.98
49,1997-12-24,950.0,950.0,1.0,967.2,11145.6,5.14844,5.76,30.27,130.06,14924.98,14775.22
50,1997-12-29,961.5,975.5,11.0,967.175,7908.0,5.13672,5.76,26.79,130.05,14775.22,15258.74
51,1997-12-30,976.25,990.0,5.0,968.75,6838.3,5.02734,5.8,24.38,130.05,15258.74,14956.84
52,1998-01-05,993.75,996.0,51.0,974.45,15.0,5.00781,5.52,24.36,133.99,14956.84,14896.4
53,1998-01-06,991.25,982.25,27.0,975.925,15.9,4.92578,5.49,25.66,133.88,14896.4,15028.17
54,1998-01-07,986.0,983.0,27.0,976.875,16.8,4.867189999999999,5.55,25.07,131.7,15028.17,15019.18
55,1998-01-08,984.25,974.0,24.0,978.875,18.0,4.92187,5.49,26.01,132.49,15019.18,14995.1
56,1998-01-09,969.25,941.0,101.0,977.975,28.0,4.91406,5.4,28.69,131.52,14995.1,14664.44
57,1998-01-12,940.0,956.0,64.0,977.975,33.3,4.843750000000001,5.39,28.02,132.83,14664.44,14755.94
58,1998-01-13,958.5,970.0,33.0,977.425,35.5,4.875,5.41,25.17,131.72,14755.94,15121.98
59,1998-01-14,972.5,973.5,41.0,975.775,39.1,4.89844,5.45,23.75,131.43,15121.98,16046.45
60,1998-01-16,966.5,982.0,20.0,972.675,39.7,4.90234,5.54,21.65,128.88,16046.45,16366.53
61,1998-01-20,982.0,994.0,15.0,972.475,36.1,4.90625,5.57,21.65,128.8,16366.53,16684.42
62,1998-01-21,988.75,984.75,31.0,972.725,36.5,4.89453,5.54,22.53,127.5,16684.42,16405.69
63,1998-01-22,980.5,976.0,34.0,972.025,37.2,4.886710000000001,5.56,23.16,127.22,16405.69,16789.11
64,1998-01-23,978.75,968.0,11.0,971.425,35.9,4.89062,5.7,23.32,125.78,16789.11,17073.33
65,1998-01-26,977.0,968.75,24.0,974.2,28.2,4.88281,5.63,23.97,126.64,17073.33,16981.62
66,1998-01-27,973.25,985.75,65.0,977.175,28.3,4.86328,5.7,22.27,126.02,16981.62,16973.83
67,1998-01-28,986.0,992.5,27.0,979.425,27.7,4.85938,5.69,22.06,125.26,16973.83,17014.59
68,1998-01-29,994.0,999.5,75.0,982.025,31.1,4.878900000000001,5.58,21.65,125.38,17014.59,16628.47
69,1998-01-30,1001.0,995.25,35.0,984.65,33.7,4.83594,5.53,21.47,127.1,16628.47,16776.82
70,1998-02-02,1012.75,1016.5,64.0,988.1,38.1,4.81641,5.57,21.36,126.65,16776.82,17022.98
71,1998-02-03,1011.25,1020.5,48.0,990.75,41.4,4.79687,5.56,20.67,126.02,17022.98,16882.62
72,1998-02-04,1010.25,1021.0,149.0,994.375,53.2,4.78906,5.57,20.55,123.78,16882.62,17003.3
73,1998-02-05,1019.0,1016.75,72.0,998.45,57.0,4.77734,5.62,21.29,123.31,17003.3,17040.06
74,1998-02-06,1021.0,1028.75,47.0,1004.525,60.6,4.78125,5.62,20.51,124.26,17040.06,17205.0
75,1998-02-09,1031.75,1024.75,87.0,1010.125,66.9,4.78516,5.65,21.55,124.28,17205.0,17205.09
76,1998-02-10,1023.5,1034.25,98.0,1014.975,70.2,4.7929699999999995,5.64,20.66,123.47,17205.09,17174.93
77,1998-02-12,1029.0,1038.0,223.0,1022.925,87.3,4.78516,5.52,19.73,123.78,17174.93,16791.01
78,1998-02-13,1037.0,1032.75,116.0,1026.675,95.4,4.78516,5.49,19.84,125.37,16791.01,16790.71
79,1998-02-17,1030.0,1037.5,157.0,1029.725,99.9,4.77734,5.44,20.76,126.87,16790.71,16613.89
80,1998-02-18,1036.0,1046.5,68.0,1032.275,91.8,4.76562,5.49,19.66,126.35,16613.89,16616.48
81,1998-02-19,1045.0,1041.0,112.0,1034.7,95.8,4.76562,5.51,19.88,126.25,16616.48,16756.24
82,1998-02-20,1042.0,1048.25,85.0,1036.65,99.6,4.76172,5.54,19.0,127.73,16756.24,16609.49
83,1998-02-23,1051.5,1051.25,388.0,1039.3,129.7,4.76562,5.58,18.99,128.92,16609.49,16198.0
84,1998-02-24,1053.0,1043.5,240.0,1040.225,143.9,4.777350000000001,5.69,19.35,128.15,16198.0,16360.64
85,1998-02-25,1043.0,1057.75,539.0,1042.65,192.8,4.832040000000001,5.63,18.62,128.62,16360.64,16501.7
86,1998-02-26,1057.0,1063.75,142.0,1045.225,184.7,4.835940000000001,5.65,18.63,127.72,16501.7,16831.67
87,1998-02-27,1063.0,1062.0,230.0,1048.15,196.1,4.86719,5.62,18.55,126.12,16831.67,17264.34
88,1998-03-02,1061.75,1059.75,327.0,1051.125,228.8,4.88672,5.72,19.19,125.38,17264.34,17168.33
89,1998-03-03,1059.5,1067.0,315.0,1054.075,244.6,4.90625,5.77,19.04,126.05,17168.33,17095.6
90,1998-03-04,1065.25,1059.25,329.0,1055.35,270.7,4.93359,5.76,19.58,126.79,17095.6,16848.55
91,1998-03-05,1055.0,1049.75,716.0,1056.225,331.1,4.94141,5.78,20.93,127.61,16848.55,17131.97
92,1998-03-06,1049.25,1068.75,728.0,1058.275,395.4,4.94922,5.73,19.14,128.42,17131.97,16972.53
93,1998-03-09,1061.5,1065.5,641.0,1059.7,420.7,4.95703,5.67,20.23,127.78,16972.53,16982.82
94,1998-03-10,1066.0,1077.25,359.0,1063.075,432.6,4.95312,5.67,19.43,127.63,16982.82,16756.14
95,1998-03-11,1076.0,1081.25,1201.0,1065.425,498.8,4.96484,5.63,18.89,129.3,16756.14,16575.22
96,1998-03-12,1079.5,1083.75,10524.0,1067.425,1537.0,4.97656,5.56,18.25,129.25,16575.22,17060.14
97,1998-03-13,1084.0,1080.25,13035.0,1069.25,2817.5,4.98828,5.58,18.71,128.23,17060.14,16861.14
98,1998-03-16,1080.0,1092.0,11015.0,1072.475,3886.3,4.968750000000001,5.54,18.51,129.4,16861.14,16997.2
99,1998-03-17,1091.25,1093.5,12254.0,1075.125,5080.2,4.98437,5.56,18.66,129.41,16997.2,16619.68
100,1998-03-18,1094.0,1097.25,10975.0,1078.925,6144.8,4.98437,5.58,18.29,130.17,16619.68,16679.02
101,1998-03-19,1097.25,1101.5,9655.0,1084.1,7038.7,4.99219,5.58,17.76,130.43,16679.02,16830.47
102,1998-03-20,1101.5,1111.0,12649.0,1088.325,8230.8,4.98828,5.57,18.69,130.34,16830.47,16868.83
103,1998-03-23,1117.5,1118.5,5.0,1093.625,8167.2,4.98047,5.57,19.98,130.28,16868.83,16606.39
104,1998-03-24,1119.5,1130.0,7.0,1098.9,8132.0,4.98437,5.58,20.51,130.25,16606.39,16658.34
105,1998-03-25,1137.0,1120.0,9.0,1102.775,8012.8,4.92578,5.64,22.54,128.76,16658.34,16980.62
106,1998-03-26,1126.0,1128.0,10.0,1107.2,6961.4,4.9375,5.68,22.81,128.71,16980.62,16739.26
107,1998-03-27,1130.0,1118.25,15.0,1111.0,5659.4,4.9375,5.68,23.47,130.17,16739.26,16263.04
108,1998-03-30,1116.5,1113.0,9.0,1113.1,4558.8,4.98438,5.72,24.66,132.16,16263.04,16527.17
109,1998-03-31,1122.5,1121.25,11.0,1115.875,3334.5,5.003909999999999,5.67,24.22,133.29,16527.17,16241.66
110,1998-04-01,1124.5,1131.0,10.0,1119.25,2238.0,5.007810000000001,5.62,23.37,133.76,16241.66,15702.9
111,1998-04-02,1129.0,1134.0,21.0,1122.5,1274.6,5.02735,5.56,21.98,133.5,15702.9,15517.78
112,1998-04-03,1147.5,1144.5,27.0,1125.85,12.4,5.01953,5.47,21.82,135.05,15517.78,15705.99
113,1998-04-06,1152.0,1141.25,14.0,1128.125,13.3,5.000000000000001,5.51,22.47,134.71,15705.99,15978.72
114,1998-04-07,1137.0,1130.0,11.0,1128.125,13.7,4.98828,5.53,23.66,133.68,15978.72,16376.62
115,1998-04-08,1134.0,1120.0,7.0,1128.125,13.5,4.98828,5.58,23.17,132.64,16376.62,16536.66
116,1998-04-09,1127.25,1134.0,24.0,1128.725,14.9,4.98047,5.59,21.51,130.21,16536.66,16277.32
117,1998-04-14,1132.75,1135.5,14.0,1132.05,15.3,5.01562,5.63,21.61,129.35,16277.32,16299.3
118,1998-04-15,1137.0,1138.5,7.0,1133.775,14.9,5.01562,5.6,20.89,129.45,16299.3,15883.77
119,1998-04-16,1128.0,1126.25,6.0,1133.3,14.5,5.01562,5.59,22.06,131.78,15883.77,15703.8
120,1998-04-17,1123.25,1136.5,16.0,1133.55,14.0,5.01562,5.59,20.76,131.85,15703.8,15697.1
121,1998-04-20,1143.0,1143.0,2.0,1133.4,11.5,5.03125,5.65,20.39,132.23,15697.1,15825.67
122,1998-04-21,1142.5,1142.0,9.0,1133.475,11.0,5.03516,5.68,19.91,131.33,15825.67,15761.54
123,1998-04-22,1146.25,1151.5,13.0,1135.625,11.2,5.03125,5.68,19.44,130.77,15761.54,15761.69
124,1998-04-23,1147.25,1138.0,6.0,1137.425,11.1,5.03906,5.69,20.6,130.19,15761.69,16011.24
125,1998-04-24,1133.0,1123.0,7.0,1136.325,9.4,5.05469,5.67,21.97,130.9,16011.24,15649.95
126,1998-04-27,1117.0,1102.5,75.0,1133.675,15.5,5.07031,5.8,26.09,132.09,15649.95,15395.43
127,1998-04-28,1104.0,1101.0,42.0,1130.225,18.3,5.10547,5.8,24.17,132.19,15395.43,15641.26
128,1998-04-30,1105.25,1131.0,63.0,1127.85,26.8,5.10156,5.68,21.18,132.37,15641.26,15601.1
129,1998-05-01,1131.0,1141.0,42.0,1128.3,29.4,5.0742199999999995,5.67,19.34,133.01,15601.1,15243.84
130,1998-05-06,1133.75,1122.0,36.0,1124.2,39.3,5.08203,5.67,22.79,132.73,15243.84,15143.03
131,1998-05-07,1121.0,1109.5,22.0,1121.35,40.9,5.10937,5.67,23.39,133.09,15143.03,15149.0
132,1998-05-08,1115.0,1122.0,39.0,1121.25,44.1,5.125,5.71,20.57,132.88,15149.0,15381.9
133,1998-05-11,1132.0,1122.0,41.0,1123.2,40.7,5.12891,5.79,21.05,132.84,15381.9,15322.48
134,1998-05-12,1123.0,1133.25,40.0,1126.425,40.5,5.152349999999999,5.7,20.98,134.0,15322.48,15343.81
135,1998-05-13,1133.0,1136.0,25.0,1129.025,39.5,5.14063,5.64,20.44,134.18,15343.81,15307.69
136,1998-05-14,1135.75,1133.75,81.0,1129.3,41.3,5.14453,5.67,19.64,134.23,15307.69,15242.86
137,1998-05-15,1131.0,1123.25,32.0,1127.525,40.3,5.148439999999999,5.68,20.44,134.39,15242.86,15384.47
138,1998-05-18,1120.5,1122.0,52.0,1125.725,41.6,5.14453,5.64,21.69,135.95,15384.47,15551.65
139,1998-05-19,1119.0,1123.5,47.0,1124.725,41.5,5.152340000000001,5.65,20.39,136.34,15551.65,15652.95
140,1998-05-20,1131.0,1135.0,32.0,1126.025,41.1,5.15625,5.61,19.89,135.99,15652.95,15845.25
141,1998-05-21,1140.0,1131.0,44.0,1128.175,43.3,5.15625,5.65,19.38,135.65,15845.25,15801.65
142,1998-05-22,1133.0,1127.5,20.0,1128.725,41.4,5.1367199999999995,5.64,18.99,135.77,15801.65,15884.82
143,1998-05-26,1130.25,1107.0,155.0,1127.225,52.8,5.1367199999999995,5.59,22.07,137.38,15884.82,15664.29
144,1998-05-27,1105.5,1108.75,390.0,1124.775,87.8,5.13281,5.56,22.59,137.36,15664.29,15796.55
145,1998-05-28,1100.5,1110.0,232.0,1122.175,108.5,5.13281,5.58,20.74,138.91,15796.55,15670.78
146,1998-05-29,1120.0,1111.0,45.0,1119.9,104.9,5.13281,5.56,21.32,138.5,15670.78,15321.03
147,1998-06-01,1101.25,1107.75,286.0,1118.35,130.3,5.13672,5.53,22.83,139.57,15321.03,15554.45
148,1998-06-02,1107.25,1108.0,183.0,1116.95,143.4,5.13672,5.56,22.0,138.97,15554.45,15347.0
149,1998-06-03,1090.0,1092.0,180.0,1113.8,156.7,5.14062,5.57,22.85,138.34,15347.0,15426.47
150,1998-06-04,1089.0,1110.25,279.0,1111.325,181.4,5.14062,5.59,21.22,138.4,15426.47,15323.43
151,1998-06-05,1109.25,1129.0,468.0,1111.125,223.8,5.14062,5.58,19.78,139.66,15323.43,15294.71
152,1998-06-08,1129.0,1129.75,343.0,1111.35,256.1,5.14062,5.58,20.58,140.58,15294.71,15530.17
153,1998-06-09,1130.25,1132.0,320.0,1113.85,272.6,5.14453,5.59,20.52,140.25,15530.17,15339.26
154,1998-06-10,1130.75,1124.0,1022.0,1115.375,335.8,5.14453,5.51,21.48,141.52,15339.26,15014.04
155,1998-06-11,1124.25,1105.25,17376.0,1114.9,2050.2,5.14062,5.44,23.57,143.25,15014.04,15022.33
156,1998-06-12,1103.5,1111.5,19156.0,1114.95,3961.3,5.14062,5.43,22.78,144.36,15022.33,14825.17
157,1998-06-15,1112.25,1086.0,19159.0,1112.775,5848.6,5.14453,5.38,25.94,146.42,14825.17,14720.38
158,1998-06-16,1085.0,1100.0,20631.0,1111.975,7893.4,5.14062,5.45,24.8,144.05,14720.38,14715.38
159,1998-06-17,1099.25,1122.75,17820.0,1115.05,9657.4,5.14062,5.54,22.89,137.68,14715.38,15361.54
160,1998-06-18,1122.0,1118.25,13415.0,1115.85,10971.0,5.125,5.5,22.4,137.61,15361.54,15267.98
161,1998-06-19,1118.25,1112.5,11683.0,1114.2,12092.5,5.12891,5.47,21.92,134.2,15267.98,15309.09
162,1998-06-22,1122.5,1128.0,30.0,1114.025,12061.2,5.13672,5.46,21.94,137.9,15309.09,15054.6
163,1998-06-23,1130.0,1140.25,11.0,1114.85,12030.3,5.12891,5.45,20.17,139.13,15054.6,15123.18
164,1998-06-24,1141.0,1154.0,7.0,1117.85,11928.8,5.12109,5.46,20.02,140.75,15123.18,15132.22
165,1998-06-25,1160.75,1152.5,49.0,1122.575,10196.1,5.10156,5.46,20.25,141.67,15132.22,15210.04
166,1998-06-26,1154.5,1161.0,18.0,1127.525,8282.3,5.03125,5.46,19.36,142.75,15210.04,15365.73
167,1998-06-29,1161.75,1163.0,6.0,1135.225,6367.0,5.01563,5.47,19.57,141.92,15365.73,15830.27
168,1998-06-30,1162.0,1157.0,8.0,1140.925,4304.7,5.05469,5.44,19.71,138.29,15830.27,16362.89
169,1998-07-01,1159.75,1170.0,10.0,1145.65,2523.7,5.08984,5.44,18.0,138.65,16362.89,16471.58
170,1998-07-02,1167.0,1165.0,5.0,1150.325,1182.7,5.07031,5.42,17.67,141.44,16471.58,16350.45
171,1998-07-06,1168.25,1179.0,10.0,1156.975,15.4,5.07812,5.39,18.63,140.18,16350.45,16416.28
172,1998-07-07,1182.0,1175.75,8.0,1161.75,13.2,5.07031,5.42,18.62,138.78,16416.28,16530.97
173,1998-07-08,1178.5,1190.5,8.0,1166.775,12.9,5.07422,5.43,17.82,139.6,16530.97,16446.95
174,1998-07-09,1185.75,1180.75,27.0,1169.45,14.9,5.07031,5.41,18.16,141.3,16446.95,16090.06
175,1998-07-10,1180.0,1182.5,24.0,1172.45,12.4,5.07031,5.42,17.92,141.05,16090.06,16360.39
176,1998-07-13,1184.0,1185.75,9.0,1174.925,11.5,5.0625,5.46,18.26,140.98,16360.39,16488.91
177,1998-07-14,1187.75,1199.5,32.0,1178.575,14.1,5.05859,5.49,17.88,139.84,16488.91,16614.14
178,1998-07-15,1197.25,1196.5,12.0,1182.525,14.5,5.04687,5.48,17.89,140.67,16614.14,16731.92
179,1998-07-16,1198.0,1204.25,29.0,1185.95,16.4,5.03906,5.5,16.97,140.25,16731.92,16570.78
180,1998-07-17,1204.0,1208.0,12.0,1190.25,17.1,5.03516,5.51,16.23,139.6,16570.78,16556.69
181,1998-07-21,1208.0,1185.75,19.0,1193.9,20.7,5.03125,5.45,20.1,140.39,16556.69,16293.06
182,1998-07-22,1186.0,1185.75,53.0,1193.425,25.2,5.02344,5.46,20.32,141.1,16293.06,16188.01
183,1998-07-23,1185.0,1157.0,56.0,1191.05,28.1,5.02344,5.45,23.01,141.54,16188.01,16361.89
184,1998-07-24,1159.0,1161.0,62.0,1188.9,31.9,5.01562,5.45,23.01,140.93,16361.89,15944.36
185,1998-07-27,1151.5,1162.0,47.0,1186.525,35.7,5.01562,5.47,23.13,142.24,15944.36,16114.54
186,1998-07-28,1163.0,1154.5,52.0,1182.025,37.7,5.01562,5.5,25.25,141.75,16114.54,16158.09
187,1998-07-29,1149.75,1143.0,33.0,1176.675,39.8,5.02344,5.52,24.79,142.46,16158.09,16201.6
188,1998-07-30,1150.75,1159.5,37.0,1172.2,40.6,5.03125,5.5,22.66,142.51,16201.6,16378.97
189,1998-07-31,1156.5,1135.0,25.0,1164.9,41.9,5.03516,5.5,24.8,144.65,16378.97,16165.08
190,1998-08-03,1131.25,1131.0,33.0,1157.45,41.7,5.03906,5.46,25.98,145.8,16165.08,16023.58
191,1998-08-04,1127.75,1092.0,77.0,1148.075,47.5,5.04297,5.43,31.06,144.84,16023.58,15992.16
192,1998-08-05,1075.0,1098.75,79.0,1139.375,50.1,5.04297,5.43,29.83,144.38,15992.16,15876.22
193,1998-08-06,1092.75,1106.75,46.0,1134.35,49.1,5.03906,5.44,28.2,144.6,15876.22,15829.17
194,1998-08-07,1105.5,1106.5,84.0,1128.9,51.3,5.03906,5.4,27.02,146.3,15829.17,15626.42
195,1998-08-10,1102.5,1102.0,20.0,1122.9,48.6,5.03516,5.41,28.75,146.54,15626.42,15406.99
196,1998-08-11,1081.75,1083.5,191.0,1115.8,62.5,5.02734,5.37,31.91,147.14,15406.99,15378.97
197,1998-08-12,1084.0,1099.0,167.0,1111.4,75.9,5.03906,5.4,28.55,146.09,15378.97,15382.02
198,1998-08-13,1102.0,1086.5,76.0,1104.1,79.8,5.03125,5.44,29.92,145.05,15382.02,15123.93
199,1998-08-14,1086.0,1075.0,60.0,1098.1,83.3,5.03125,5.4,34.34,146.37,15123.93,14794.66
200,1998-08-17,1067.25,1098.0,105.0,1094.8,90.5,5.03125,5.4,31.86,145.78,14794.66,15063.79
201,1998-08-18,1103.0,1117.5,107.0,1097.35,93.5,5.03125,5.41,28.4,145.02,15063.79,15406.34
202,1998-08-19,1120.0,1111.25,150.0,1098.6,100.6,5.03906,5.42,28.69,143.85,15406.34,15391.41
203,1998-08-20,1116.0,1104.0,74.0,1098.325,103.4,5.04297,5.38,30.0,142.6,15391.41,15298.2
204,1998-08-21,1105.0,1097.0,288.0,1097.375,123.8,5.04297,5.32,33.14,144.94,15298.2,14988.36
205,1998-08-24,1096.0,1105.0,228.0,1097.675,144.6,5.04687,5.3,31.8,143.96,14988.36,15072.93
206,1998-08-25,1102.75,1108.0,353.0,1100.125,160.8,5.05078,5.25,30.33,144.94,15072.93,14866.03
207,1998-08-26,1106.0,1100.75,256.0,1100.3,169.7,5.04687,5.26,31.14,144.43,14866.03,14413.79
208,1998-08-27,1092.25,1049.25,565.0,1096.575,218.6,5.05469,5.12,38.55,142.2,14413.79,13915.63
209,1998-08-28,1049.0,1042.0,957.0,1093.275,308.3,4.99219,5.09,39.6,142.55,13915.63,14369.63
210,1998-09-01,966.0,1010.5,1274.0,1069.375,542.7,4.96484,5.05,36.48,136.23,14369.63,14376.62
211,1998-09-02,1011.5,1000.25,514.0,1058.275,579.1,4.97266,5.1,36.76,137.76,14376.62,14261.24
212,1998-09-03,1001.0,995.0,461.0,1047.375,617.8,4.98047,5.03,41.43,134.82,14261.24,14042.91
213,1998-09-04,996.5,985.25,18208.0,1036.2,2409.8,4.97266,5.02,43.31,133.99,14042.91,14913.49
214,1998-09-08,988.0,1035.75,666.0,1018.725,2418.3,5.06641,5.04,37.9,132.1,14913.49,14755.54
215,1998-09-09,1037.0,1012.0,852.0,1009.85,2477.9,5.14844,4.95,39.66,136.45,14755.54,14666.03
216,1998-09-10,1012.5,981.0,20949.0,1003.025,4516.3,5.12109,4.76,45.29,134.32,14666.03,13916.98
217,1998-09-11,980.5,1024.0,26716.0,1001.225,7092.2,5.0625,4.85,43.74,131.05,13916.98,14227.37
218,1998-09-14,1023.5,1040.25,18796.0,1008.65,8843.6,5.07031,4.87,38.57,133.22,14227.37,14197.7
219,1998-09-16,1046.75,1057.75,24310.0,1018.125,13267.0,5.07422,4.88,35.94,134.92,14197.7,13859.14
220,1998-09-17,1057.75,1027.5,21999.0,1021.375,15420.8,5.08984,4.8,39.23,131.88,13859.14,13983.12
221,1998-09-18,1028.5,1029.5,16957.0,1025.8,15295.7,5.08984,4.7,38.63,132.63,13983.12,13597.3
222,1998-09-21,1040.0,1040.0,1.0,1029.55,15295.8,5.08203,4.69,38.58,133.4,13597.3,13789.81
223,1998-09-22,1045.0,1045.0,1.0,1030.475,15229.3,5.07812,4.73,36.62,135.2,13789.81,14205.78
224,1998-09-24,1075.0,1074.0,11.0,1047.7,13051.7,5.00781,4.64,34.66,135.33,14205.78,13723.84
225,1998-09-25,1050.0,1072.0,14.0,1052.5,10381.5,4.87109,4.6,34.55,135.1,13723.84,13909.37
226,1998-09-28,1078.0,1064.0,9.0,1054.875,8502.8,4.83984,4.61,34.87,135.7,13909.37,13821.43
227,1998-09-29,1075.75,1069.25,3.0,1057.025,6331.9,4.86328,4.59,36.08,133.9,13821.43,13406.39
228,1998-09-30,1056.0,1043.5,14.0,1055.6,3902.3,4.86719,4.44,40.95,136.59,13406.39,13197.12
229,1998-10-01,1027.0,1004.75,37.0,1053.325,1706.1,4.87891,4.33,43.48,135.75,13197.12,13223.69
230,1998-10-02,1013.0,1016.25,15.0,1052.0,11.9,4.87891,4.31,40.47,135.6,13223.69,12948.12
231,1998-10-05,1010.0,982.75,14.0,1046.275,13.2,4.90234,4.16,42.81,134.54,12948.12,13021.64
232,1998-10-06,1005.0,1003.75,23.0,1042.15,15.4,4.93359,4.24,41.2,131.15,13021.64,13825.61
233,1998-10-07,1024.0,980.75,25.0,1031.1,16.5,4.699210000000001,4.34,43.51,123.97,13825.61,13026.06
234,1998-10-08,974.75,974.0,26.0,1021.1,18.0,4.94141,4.56,45.74,118.85,13026.06,12879.97
