,Date,2Y,5Y,10Y,2s5s,5s10s,2s10s,2s5s_20-day_Vol,5s10s_20-day_Vol,2s10s_20-day_Vol,2s5s_21-day_MA,2s5s_55-day_MA,2s5s_100-day_MA,5s10s_21-day_MA,5s10s_55-day_MA,5s10s_100-day_MA,2s10s_21-day_MA,2s10s_55-day_MA,2s10s_100-day_MA,Closing_Price,SP500_Daily_Return,SP500_20-day_Vol,SP500_50-day_Vol,SP500_100-day_Vol,SP500_21-day_MA,SP500_55-day_MA,SP500_100-day_MA,EM_High_Yield,EM_Bonds_20-day_Vol,EM_Bonds_50-day_Vol,EM_Bonds_100-day_Vol,EM_Bonds_21-day_MA,EM_Bonds_55-day_MA,EM_Bonds_100-day_MA,VIX,VIX_21-day_MA_x,VIX_55-day_MA_x,VIX_100-day_MA_x,USDJPY,USDJPY_21-day_MA,USDJPY_55-day_MA,USDJPY_100-day_MA,Ted_Spread,VIX_21-day_MA_y,VIX_55-day_MA_y,VIX_100-day_MA_y,B_Spread,Five_year,B_UST_Spread,Credit_21-day_MA,Credit_55-day_MA,Credit_100-day_MA,Nikkei,Nikkei_Returns,Nikkei_20-day_Vol,Nikkei_50-day_Vol,Nikkei_100-day_Vol,Nikkei_21-day_MA,Nikkei_55-day_MA,Nikkei_100-day_MA
0,1999-05-19,5.37,5.54,5.6,16.999999999999993,5.999999999999961,22.999999999999954,324.1073880964595,273.99838415115755,219.8975110406706,16.33333333333332,11.781818181818199,7.180000000000003,12.047619047619026,10.618181818181812,10.43,28.380952380952323,22.40000000000001,17.61,1361.0,0.008148148148148238,16.108436934125862,19.33553351682542,20.937584825397394,1367.75,1340.2863636363636,1305.175,13.62,7.717930864732675,8.23045650375954,17.08897880875465,13.215714285714288,13.948909090909085,14.754599999999996,25.08,25.13047619047623,24.640181818181762,26.080200000000026,124.45,120.8261904761898,120.04072727272656,117.92650000000073,0.6,0.5761904761904777,0.6018181818181808,0.6229999999999919,10.31,5.54,4.7700000000000005,4.843809523809526,5.210545454545459,5.535300000000001,16128.18,-0.015290665513944424,22.064530376515094,28.01307854499362,23.617317008974585,16764.65809523811,16104.888363636363,15143.146599999996
1,1999-05-20,5.35,5.53,5.6,18.00000000000006,6.99999999999994,25.0,315.7915063032976,280.99281413347995,218.7525898882836,16.8095238095238,11.89090909090911,7.430000000000004,11.904761904761882,10.581818181818173,10.38,28.714285714285655,22.47272727272728,17.81,1357.0,-0.0029390154298309934,15.413645199071583,19.206910560733185,20.91028700896631,1367.4285714285713,1342.0045454545455,1306.3225,13.74,8.091208560458767,8.578839101915394,17.157488756722206,13.237142857142858,13.918181818181814,14.742999999999995,24.46,25.185238095238137,24.556909090909034,26.110000000000028,124.15,121.03523809523742,120.05254545454473,118.00920000000073,0.6,0.571428571428573,0.6036363636363626,0.6209999999999919,10.33,5.53,4.8,4.830476190476192,5.196727272727276,5.5231,16199.99,0.004452455267736299,21.92472290895366,28.01249324498352,23.621845782372635,16739.55857142858,16136.334545454545,15163.876599999996
2,1999-05-21,5.3,5.46,5.52,16.000000000000014,5.999999999999961,21.999999999999975,319.7546655681921,282.7131430745887,222.00282232729327,17.09523809523808,12.000000000000018,7.590000000000004,11.71428571428569,10.5090909090909,10.33,28.80952380952375,22.50909090909092,17.92,1348.0,-0.0066322770817980325,15.550257552588501,19.13964916310832,20.791131486314722,1365.857142857143,1343.0454545454545,1307.1725,13.97,9.153148606266742,9.552833784365575,17.380792421889353,13.270476190476193,13.892181818181815,14.733799999999995,24.4,25.270000000000042,24.515636363636307,26.119000000000028,123.9,121.22857142857075,120.07672727272654,118.09400000000072,0.6,0.5619047619047634,0.6054545454545445,0.6179999999999919,10.32,5.46,4.86,4.824761904761907,5.182545454545459,5.510800000000001,16292.98,0.00574012700007831,21.834042507763066,25.848339652603773,23.625809026405424,16712.95857142858,16171.342545454545,15184.863499999996
3,1999-05-24,5.28,5.43,5.5,14.999999999999947,7.000000000000028,21.999999999999975,318.43735124002177,282.08443287388707,215.33316027622016,17.285714285714267,12.109090909090927,7.750000000000004,11.523809523809504,10.490909090909083,10.3,28.80952380952375,22.60000000000001,18.05,1320.75,-0.020215133531157226,16.879702409242377,19.53033062445484,21.05533155511139,1363.0357142857142,1343.5045454545455,1307.75,14.07,8.914841823943146,9.616156027388548,17.395658235547344,13.312380952380956,13.868545454545453,14.726599999999994,27.62,25.50142857142861,24.579999999999945,26.17340000000003,123.57,121.43380952380883,120.1101818181811,118.18090000000073,0.5,0.5523809523809539,0.6054545454545445,0.614999999999992,10.36,5.43,4.93,4.8223809523809535,5.168909090909096,5.4988,16390.49,0.005984786085786675,21.963359531692852,25.768329993697776,23.625834625451166,16699.4480952381,16210.77418181818,15207.238899999997
4,1999-05-25,5.3,5.44,5.49,14.000000000000057,4.999999999999982,19.00000000000004,308.7244379176719,297.0537985717435,220.84647241535058,17.476190476190464,12.200000000000019,7.8700000000000045,11.333333333333309,10.454545454545448,10.26,28.80952380952375,22.654545454545463,18.13,1299.5,-0.01608934317622568,17.410239958654294,19.865175687876864,21.160968923998627,1359.0357142857142,1343.659090909091,1308.235,14.14,8.930857487760195,9.65624452069456,17.416836834092457,13.360000000000003,13.847454545454543,14.720199999999995,28.9,25.7571428571429,24.659272727272672,26.229000000000028,122.88,121.61238095238026,120.13709090909019,118.27890000000072,0.5,0.5428571428571444,0.6054545454545445,0.611999999999992,10.35,5.44,4.909999999999999,4.818095238095239,5.153636363636369,5.4856,16214.23,-0.010753796866353693,21.87658962839665,25.542629504363095,23.282560993166555,16676.453809523817,16252.46818181818,15231.586699999996
5,1999-05-26,5.33,5.49,5.55,16.000000000000014,5.999999999999961,21.999999999999975,166.6411767602644,304.21680843649705,179.9530054719873,17.857142857142843,12.327272727272746,8.040000000000004,11.14285714285712,10.43636363636363,10.2,28.99999999999994,22.763636363636373,18.24,1320.0,0.015775298191612164,18.60749662565643,20.146667997599515,21.261244187889904,1355.7738095238096,1343.9863636363636,1309.0175,14.04,9.3520940862749,9.749421652195293,17.441815367149953,13.400476190476194,13.825090909090907,14.712399999999995,27.57,25.95761904761909,24.70563636363631,26.26050000000003,122.03,121.69809523809457,120.17690909090837,118.37770000000073,0.5,0.5333333333333349,0.6054545454545445,0.608999999999992,10.38,5.49,4.890000000000001,4.812380952380953,5.139090909090914,5.472499999999999,16230.52,0.00100467305570473,21.49423244704039,24.95226592625271,23.255745101408227,16663.85857142858,16289.925636363634,15256.824599999998
6,1999-05-27,5.43,5.59,5.62,16.000000000000014,3.000000000000025,19.00000000000004,166.64117676026433,341.2542261884398,183.56886463216065,17.952380952380935,12.472727272727292,8.220000000000004,10.761904761904741,10.345454545454539,10.11,28.714285714285655,22.818181818181827,18.33,1295.75,-0.018371212121212066,19.274304758721424,20.28405204776594,21.258144181948936,1351.797619047619,1343.6045454545454,1309.315,13.96,9.486569978128449,9.80066494485351,17.414786343017695,13.439523809523813,13.802545454545452,14.702699999999995,28.12,26.13476190476195,24.766181818181764,26.280000000000026,121.27,121.79999999999932,120.20781818181747,118.47890000000073,0.5,0.5285714285714301,0.6054545454545445,0.607999999999992,10.4,5.59,4.8100000000000005,4.8047619047619055,5.1236363636363675,5.459199999999998,16177.19,-0.0032857850518652754,20.575154229517636,24.971199586876573,23.256428410829212,16640.587619047627,16326.175454545453,15280.616999999997
7,1999-05-28,5.42,5.6,5.64,17.99999999999997,4.0000000000000036,21.999999999999975,164.89092510202096,366.1607701859909,192.53050583496818,18.142857142857128,12.654545454545474,8.410000000000004,10.333333333333313,10.272727272727266,10.03,28.476190476190418,22.927272727272737,18.44,1318.25,0.01736446073702491,20.189400472804856,20.281046410197284,21.126052254431457,1349.5833333333333,1343.8590909090908,1309.5475,14.05,9.500413273900158,9.502335363811278,17.44602162051842,13.485714285714291,13.782363636363634,14.693599999999995,25.39,26.150476190476237,24.78472727272722,26.289300000000026,120.88,121.87714285714216,120.24218181818112,118.55990000000072,0.5,0.5238095238095254,0.6054545454545445,0.605999999999992,10.41,5.6,4.8100000000000005,4.793333333333335,5.107636363636368,5.445999999999998,15972.68,-0.012641874145015275,20.889862325461145,25.15511225436654,23.33236287962515,16595.322380952388,16345.787818181818,15303.253199999996
8,1999-06-01,5.54,5.74,5.78,20.000000000000018,4.0000000000000036,24.00000000000002,167.78281617281502,364.1269289170978,193.67220299967553,18.33333333333332,12.87272727272729,8.620000000000005,9.952380952380931,10.199999999999994,9.92,28.285714285714228,23.07272727272728,18.54,1310.25,0.00019083969465638617,18.736548905100307,19.133785056557368,21.003490103783296,1344.904761904762,1343.5227272727273,1309.9775,13.91,10.340133265975032,9.76166337564285,9.657664889380495,13.557619047619053,13.742909090909087,14.641999999999996,26.62,26.22428571428576,24.817090909090858,26.322100000000024,120.75,121.93999999999932,120.29763636363566,118.65050000000072,0.5,0.5190476190476206,0.6054545454545445,0.603999999999992,10.48,5.74,4.74,4.78952380952381,5.090545454545459,5.432299999999998,16408.5,0.0184245561441565,22.478908031646657,24.87811777988381,23.47048019683346,16530.768571428576,16393.867818181818,15351.563999999997
9,1999-06-02,5.55,5.75,5.8,20.000000000000018,4.999999999999982,25.0,166.96849134686053,376.53489744525706,194.34055965053284,18.476190476190464,13.127272727272747,8.810000000000004,9.57142857142855,10.14545454545454,9.83,28.047619047618987,23.27272727272728,18.64,1309.5,-0.0005724098454493731,17.667058761135422,19.105654584177,20.907475090636236,1343.0119047619048,1343.4818181818182,1310.2725,13.97,10.329877093735936,9.826412455369587,9.706814198353394,13.600476190476197,13.725636363636362,14.614599999999996,26.21,26.322380952381,24.83472727272722,26.340500000000024,121.14,121.98761904761837,120.35945454545386,118.74670000000071,0.5,0.5142857142857159,0.6054545454545445,0.6019999999999919,10.49,5.75,4.74,4.787619047619048,5.072727272727277,5.419999999999998,16417.99,0.0005783587774630394,21.977804575175092,24.735454440868967,22.882090308680826,16505.804285714294,16410.92218181818,15381.584999999997
