,Date,Nikkei,Nikkei_Returns,Nikkei_20-day_Vol,Nikkei_50-day_Vol,Nikkei_100-day_Vol,Nikkei_21-day_MA,Nikkei_55-day_MA,Nikkei_100-day_MA
15273,2010-08-25,8845.39,-0.0167880121362719,19.395580538657438,22.678154338728028,23.62898269373491,9381.75714285715,9522.324727272735,9977.23829999997
15274,2010-08-26,8906.48,0.006882682349441144,19.827697241860573,22.299441820198236,23.533473936486097,9341.433809523818,9512.64018181819,9953.85909999997
15275,2010-08-27,8991.06,0.009451648623496706,19.841562050417167,22.43269607658579,23.588461449622024,9307.864285714295,9502.611272727281,9930.90879999997
15276,2010-08-30,9149.26,0.01744225137961043,21.037975198150626,22.859596386844984,23.77194286810297,9289.386190476202,9492.502363636373,9909.00839999997
15277,2010-08-31,8824.06,-0.03619092013454968,23.33680122906544,23.306683118346292,24.35623148084841,9253.850476190486,9473.306181818192,9884.425799999972
15278,2010-09-01,8927.02,0.011600551023588227,23.158164590862683,23.43007192634694,24.452358111536974,9217.327142857152,9455.835818181828,9860.767699999973
15279,2010-09-02,9062.84,0.015099904129393653,22.92185168540882,23.452298786785285,24.566540283911326,9197.017619047629,9437.575636363645,9839.714099999972
15280,2010-09-03,9114.13,0.005643419791569789,23.124066447518064,23.50594837166617,24.582613826887258,9171.313333333343,9421.479818181828,9818.811999999973
15281,2010-09-06,9301.32,0.02033036906120513,24.466299532125017,23.667377630004825,24.821931403301168,9155.08476190477,9408.867090909098,9799.306199999972
15282,2010-09-07,9226.0,-0.008130740435564622,24.5835217134457,23.710216611142187,24.822187000862623,9138.585238095247,9390.466909090916,9779.953899999971
15283,2010-09-08,9024.6,-0.02207140322854317,23.930584411101037,24.030309179013916,25.007568131638706,9113.5161904762,9370.679818181825,9758.150899999971
15284,2010-09-09,9098.39,0.008143292886061809,23.996136614973814,23.73364449622822,25.026535907628507,9104.2561904762,9355.674181818189,9736.39689999997
15285,2010-09-10,9239.17,0.015354579985946444,24.610078254464955,23.5546122865867,25.088593069783055,9105.521904761916,9343.143818181825,9717.766799999972
15286,2010-09-13,9321.82,0.008905833823906873,24.690380735523878,23.635150547471955,25.017380237294834,9108.777142857154,9335.58636363637,9701.897299999971
15287,2010-09-14,9299.31,-0.0024176847446550917,24.660974924524254,23.59584115088757,25.01758840298593,9113.664761904773,9328.411272727279,9685.88359999997
15288,2010-09-15,9516.56,0.023093235106444447,25.805235972955376,24.109144255074185,25.150101022813487,9130.563809523821,9327.427454545461,9670.14869999997
15289,2010-09-16,9509.5,-0.0007421400252113981,25.44483621489833,24.061550498449407,25.084825692823966,9143.37142857144,9329.734000000006,9655.752799999971
15290,2010-09-17,9626.09,0.012185821575586479,24.539943161381792,23.414296207487777,25.174754297469864,9155.914761904773,9337.633818181825,9642.86909999997
15291,2010-09-21,9602.11,-0.002494254525357637,24.36908237570144,23.395106733192733,24.875580072758844,9176.044761904774,9344.877454545462,9627.23229999997
15292,2010-09-22,9566.32,-0.003734269482713295,23.761350337404917,23.393764385148753,24.862111300093602,9197.455714285727,9350.323636363642,9610.76889999997
15293,2010-09-24,9471.67,-0.009943358499381837,23.125932023902752,23.50079679876881,24.595767405466813,9220.147619047631,9352.75327272728,9596.23769999997
15294,2010-09-27,9603.14,0.013784890319319246,23.392029267946466,22.898422299060275,24.62154668679533,9256.230952380965,9358.634909090915,9581.69509999997
15295,2010-09-28,9495.76,-0.01124474513854709,23.87962875277979,22.89796757662548,24.15492636850291,9284.291904761918,9357.908000000007,9569.69579999997
15296,2010-09-29,9559.38,0.0066774882152570506,23.292844702145533,22.006636983699295,23.70461335954229,9311.354761904775,9357.43636363637,9561.643699999971
15297,2010-09-30,9369.35,-0.020079147890486544,20.401742457672793,22.318945915103388,23.74501558841609,9321.835238095251,9354.186181818188,9550.030199999972
15298,2010-10-01,9404.23,0.0037158645430679345,20.151604291755877,22.324427335821845,23.699128780889133,9349.462380952395,9351.768000000005,9539.96149999997
15299,2010-10-04,9381.06,-0.0024668250263429905,19.66477604142526,22.282937840907667,23.70013926003895,9371.083333333347,9344.23745454546,9529.83179999997
15300,2010-10-05,9518.76,0.0145718251889122,20.154069845123516,21.93662298704535,23.55307602551536,9392.793809523824,9341.205272727278,9518.813899999972
15301,2010-10-06,9691.43,0.017977401615091735,19.881557035541373,22.241197422026758,23.64034748492234,9420.2842857143,9346.352000000006,9511.103099999971
15302,2010-10-07,9684.81,-0.0006833111333862569,19.5470017928676,22.241105427846144,23.39892892976609,9438.545714285729,9353.340181818188,9505.593599999971
15303,2010-10-08,9588.88,-0.009954584946705713,17.973288312142998,21.509838920502176,23.44626840795817,9455.825714285727,9358.97745454546,9499.055999999971
15304,2010-10-12,9388.64,-0.021103645954089218,19.75573655294491,21.97068348052459,23.65541284907553,9473.160952380966,9362.027636363642,9491.073999999971
15305,2010-10-13,9403.51,0.0015825760334556053,19.069576435686287,21.673550074080907,23.540771760704775,9487.69047619049,9361.52854545455,9484.805999999971
15306,2010-10-14,9583.51,0.018960889354681685,19.959265319299515,22.091295034741705,23.429003611707504,9504.087619047632,9362.980363636367,9482.795699999971
15307,2010-10-15,9500.25,-0.008725799138225415,20.242989865836496,21.979711390309117,23.465253218526353,9512.5842857143,9363.042181818186,9480.214199999971
15308,2010-10-18,9498.49,-0.00018527544511213076,18.46294359703459,21.456939250641526,22.952379586519413,9522.069047619061,9358.40981818182,9480.600199999972
15309,2010-10-19,9539.45,0.0043029932020385835,18.524187090098742,21.115357507222335,22.938614811298706,9523.159047619061,9355.563090909094,9480.76809999997
15310,2010-10-20,9381.6,-0.01668550764192325,18.860452595044073,21.433211580098124,23.005852819752786,9517.068571428585,9352.732181818184,9478.18689999997
15311,2010-10-21,9376.48,-0.0005458981012075166,18.855682271130807,21.377197177370732,22.911924055924008,9505.182380952396,9349.208000000002,9474.32189999997
15312,2010-10-22,9426.71,0.005342723174446547,18.96456651699957,21.41019930984465,22.92913501903388,9496.830000000013,9344.348000000002,9470.901999999971
15313,2010-10-25,9401.16,-0.0027140633203582222,18.67013951097857,20.518591179475006,22.91521593495839,9488.965238095252,9342.74472727273,9467.79529999997
15314,2010-10-26,9377.38,-0.0025326796131470057,17.909326745415193,20.42718393995723,22.850958453486594,9484.47523809525,9337.71672727273,9465.536699999971
15315,2010-10-27,9387.03,0.0010285429545324816,17.520473388369624,20.40718072567794,22.24948335381989,9474.1842857143,9333.07872727273,9460.265099999971
15316,2010-10-28,9366.03,-0.0022396354278118842,17.31820642286062,20.361977614331405,22.25088236230558,9468.006666666679,9329.324909090912,9454.913499999973
15317,2010-10-29,9202.45,-0.017619560881060217,16.98659212619181,20.7361472873356,21.579445352184518,9451.010000000013,9322.986727272732,9451.729999999972
15318,2010-11-01,9154.72,-0.005200159671469867,16.963294898556537,20.67873927297938,21.591060984035863,9440.789523809537,9320.475272727275,9447.897799999972
15319,2010-11-02,9159.98,0.0005744019988996121,16.969678850180696,20.453446723571492,21.53130847199148,9429.158571428585,9319.51872727273,9445.106299999972
15320,2010-11-04,9358.78,0.021470944836376078,17.990506892252426,20.55759379306709,21.73960111288979,9428.097619047632,9321.43363636364,9443.267599999972
15321,2010-11-05,9625.99,0.028151791913354037,19.73801492644423,21.4276535197653,22.045325365874977,9433.203809523822,9329.239454545457,9442.474999999971
