,Date,DEXJPUS,USD/JPY_Returns,USD_21-day_MA,USD_55-day_MA,USD_100-day_MA
11104,2015-04-09,120.32,0.0030010003334444146,120.11333333333232,119.42436363636284,119.05530000000068
11105,2015-04-10,120.29,-0.00024933510638291967,120.06619047618945,119.46745454545375,119.1019000000007
11106,2015-04-13,120.32,0.0002493972898827135,120.02571428571326,119.51327272727193,119.1399000000007
11107,2015-04-14,119.26,-0.00880984042553179,119.92857142857041,119.52927272727193,119.16810000000069
11108,2015-04-15,119.23,-0.00025155123260101053,119.83095238095136,119.55854545454464,119.19280000000067
11109,2015-04-16,119.18,-0.00041935754424216043,119.7480952380942,119.58472727272648,119.20760000000068
11110,2015-04-17,119.02,-0.0013425071320691817,119.65857142857038,119.59763636363557,119.21640000000069
11111,2015-04-20,119.27,0.002100487313056565,119.61047619047514,119.6309090909083,119.23170000000069
11112,2015-04-21,119.45,0.0015091808501719317,119.59666666666561,119.66945454545376,119.24230000000071
11113,2015-04-22,119.9,0.0037672666387609244,119.59666666666561,119.71345454545376,119.2614000000007
11114,2015-04-23,119.69,-0.0017514595496247454,119.61190476190372,119.7518181818174,119.2823000000007
11115,2015-04-24,118.98,-0.005931990976689727,119.61047619047514,119.78054545454467,119.2851000000007
11116,2015-04-27,119.12,0.0011766683476215345,119.60904761904655,119.77981818181739,119.29490000000071
11117,2015-04-28,118.8,-0.002686366689053088,119.5466666666656,119.78163636363558,119.2919000000007
11118,2015-04-29,118.83,0.0002525252525251709,119.49285714285608,119.7727272727265,119.28200000000069
11119,2015-04-30,119.86,0.008667844820331672,119.50428571428466,119.76327272727194,119.2839000000007
11120,2015-05-01,120.21,0.0029200734189887,119.52666666666562,119.79036363636284,119.27220000000071
11121,2015-05-04,120.25,0.0003327510190500593,119.5880952380942,119.81854545454466,119.26580000000071
11122,2015-05-05,119.87,-0.0031600831600830936,119.6271428571418,119.83454545454467,119.27580000000071
11123,2015-05-06,119.42,-0.0037540669058147014,119.58238095237989,119.8387272727265,119.28500000000071
11124,2015-05-07,119.74,0.002679618154412866,119.5719047619037,119.85509090909012,119.2884000000007
11125,2015-05-08,119.78,0.0003340571237682166,119.54619047618941,119.87509090909012,119.30400000000073
11126,2015-05-11,120.05,0.0022541325763900666,119.53476190476084,119.89636363636285,119.32700000000072
11127,2015-05-12,119.8,-0.0020824656393169105,119.50999999999894,119.90854545454467,119.3522000000007
11128,2015-05-13,119.09,-0.005926544240400622,119.5019047619037,119.91236363636285,119.3667000000007
11129,2015-05-14,119.2,0.000923671173062468,119.50047619047511,119.90945454545376,119.37030000000071
11130,2015-05-15,119.36,0.0013422818791946067,119.50904761904656,119.9029090909083,119.36830000000073
11131,2015-05-18,119.82,0.0038538873994637957,119.54714285714181,119.89854545454465,119.36810000000072
11132,2015-05-19,120.58,0.006342847604740465,119.60952380952276,119.91872727272646,119.36710000000072
11133,2015-05-20,121.28,0.005805274506551772,119.69666666666564,119.94636363636282,119.37540000000072
11134,2015-05-21,121.06,-0.0018139841688654679,119.75190476190372,119.96163636363555,119.38030000000072
11135,2015-05-22,121.45,0.0032215430365107878,119.83571428571324,119.97109090909008,119.40140000000072
11136,2015-05-26,123.08,0.013421160971593293,120.03095238095132,120.00581818181735,119.43370000000071
11137,2015-05-27,123.76,0.005524861878453136,120.25190476190372,120.05236363636281,119.46930000000071
11138,2015-05-28,124.18,0.0033936651583710287,120.50809523809419,120.10109090909009,119.51470000000072
11139,2015-05-29,123.98,-0.0016105653084232951,120.75333333333228,120.150181818181,119.57190000000071
11140,2015-06-01,124.64,0.005323439264397489,120.98095238095132,120.21327272727191,119.6231000000007
11141,2015-06-02,124.19,-0.0036103979460847535,121.17047619047513,120.26581818181735,119.66990000000071
11142,2015-06-03,124.06,-0.0010467831548433004,121.3519047619037,120.31636363636282,119.7239000000007
11143,2015-06-04,124.56,0.004030307915524833,121.57523809523703,120.38254545454464,119.78630000000071
11144,2015-06-05,125.58,0.00818882466281301,121.86857142857036,120.46763636363556,119.8605000000007
11145,2015-06-08,125.08,-0.003981525720656132,122.12285714285608,120.55490909090828,119.9435000000007
11146,2015-06-09,124.16,-0.007355292612727826,122.3314285714275,120.63527272727192,120.01560000000069
11147,2015-06-10,122.72,-0.011597938144329856,122.45857142857032,120.68654545454467,120.06830000000068
11148,2015-06-11,123.62,0.007333767926988255,122.64047619047508,120.7638181818174,120.11970000000069
11149,2015-06-12,123.23,-0.0031548293156447027,122.83761904761793,120.84054545454465,120.17340000000067
11150,2015-06-15,123.38,0.0012172360626470091,123.03666666666557,120.91745454545375,120.22800000000066
11151,2015-06-16,123.39,8.105041335704222e-05,123.2285714285703,120.97709090909012,120.28390000000067
11152,2015-06-17,124.25,0.006969770645919526,123.43952380952268,121.05509090909013,120.34260000000067
11153,2015-06-18,122.87,-0.01110663983903415,123.5485714285703,121.11418181818104,120.39510000000068
11154,2015-06-19,122.7,-0.0013835761373809374,123.61619047618933,121.16799999999922,120.44470000000068
11155,2015-06-22,123.28,0.004726976365118096,123.72190476190363,121.24654545454467,120.4944000000007
11156,2015-06-23,123.71,0.003487994808565764,123.82952380952268,121.33127272727194,120.55710000000069
11157,2015-06-24,124.24,0.004284213078975085,123.88476190476078,121.40181818181739,120.62620000000068
11158,2015-06-25,123.63,-0.004909851899549289,123.8785714285703,121.46854545454467,120.68770000000067
11159,2015-06-26,123.92,0.0023457089703147194,123.86619047618936,121.53399999999922,120.75110000000068
11160,2015-06-29,122.5,-0.011459005810200096,123.79571428571316,121.57418181818105,120.80210000000068
11161,2015-06-30,122.1,-0.0032653061224490187,123.67476190476079,121.60654545454469,120.83150000000069
11162,2015-07-01,123.02,0.007534807534807619,123.6190476190465,121.67490909090833,120.87470000000069
11163,2015-07-02,123.14,0.0009754511461550486,123.57523809523697,121.74599999999926,120.91290000000068
11164,2015-07-06,122.53,-0.004953711222998258,123.4785714285703,121.80690909090833,120.9344000000007
11165,2015-07-07,122.16,-0.0030196686525749694,123.31571428571317,121.86399999999924,120.9688000000007
11166,2015-07-08,120.54,-0.013261296660117772,123.0995238095227,121.88709090909013,120.9872000000007
11167,2015-07-09,121.22,0.0056412809026049615,122.9595238095227,121.91927272727196,121.0095000000007
11168,2015-07-10,122.75,0.012621679590826496,122.96095238095127,121.97109090909015,121.04510000000069
11169,2015-07-13,123.35,0.004887983706720833,122.94809523809413,122.03763636363561,121.09020000000069
11170,2015-07-14,123.39,0.0003242805026348883,122.95571428571317,122.11781818181744,121.13730000000069
11171,2015-07-15,123.89,0.00405219223599973,122.97999999999887,122.20454545454473,121.1874000000007
11172,2015-07-16,124.04,0.0012107514730810287,123.01095238095125,122.29981818181746,121.2365000000007
11173,2015-07-17,124.0,-0.00032247662044504466,122.9990476190465,122.39381818181745,121.28770000000071
11174,2015-07-20,124.24,0.001935483870967758,123.06428571428458,122.47345454545382,121.33650000000071
11175,2015-07-21,123.93,-0.00249517063747573,123.12285714285602,122.54109090909019,121.37860000000072
11176,2015-07-22,124.08,0.0012103606874847017,123.16095238095124,122.61072727272655,121.41880000000072
11177,2015-07-23,123.88,-0.001611863313990991,123.16904761904648,122.68363636363564,121.46290000000072
11178,2015-07-24,123.74,-0.0011301259283177378,123.14523809523696,122.76218181818109,121.50270000000071
11179,2015-07-27,123.24,-0.004040730564085937,123.12666666666551,122.82581818181745,121.53290000000072
11180,2015-07-28,123.52,0.002271989613761738,123.10761904761789,122.89381818181747,121.55880000000072
11181,2015-07-29,123.86,0.0027525906735752503,123.1723809523798,122.96309090909018,121.58570000000073
11182,2015-07-30,124.38,0.004198288390117932,123.28095238095123,123.04636363636291,121.6175000000007
11183,2015-07-31,123.94,-0.0035375462292972504,123.32476190476076,123.13454545454472,121.64190000000072
11184,2015-08-03,123.98,0.0003227368081331061,123.36476190476077,123.22145454545381,121.6689000000007
11185,2015-08-04,124.0,0.00016131634134541883,123.43476190476076,123.30581818181744,121.6972000000007
11186,2015-08-05,124.84,0.006774193548387153,123.56238095237983,123.39709090909018,121.73260000000072
11187,2015-08-06,124.6,-0.001922460749759769,123.75571428571315,123.4701818181811,121.76580000000071
11188,2015-08-07,124.27,-0.002648475120385241,123.90095238095125,123.52454545454475,121.79930000000071
11189,2015-08-10,124.55,0.002253158445320702,123.98666666666556,123.5879999999993,121.8358000000007
11190,2015-08-11,124.9,0.002810116419108777,124.06047619047509,123.65072727272656,121.8820000000007
11191,2015-08-12,123.87,-0.008246597277822287,124.08333333333223,123.6650909090902,121.92330000000071
11192,2015-08-13,124.32,0.0036328408815693436,124.10380952380844,123.675272727272,121.96750000000071
11193,2015-08-14,124.27,-0.00040218790218793377,124.11476190476081,123.67690909090837,122.0165000000007
11194,2015-08-17,124.33,0.00048281966685448374,124.1304761904751,123.68327272727201,122.06970000000071
11195,2015-08-18,124.39,0.00048258666452194454,124.13761904761796,123.67872727272656,122.1221000000007
11196,2015-08-19,124.1,-0.0023313771203473665,124.1457142857132,123.67709090909021,122.1620000000007
11197,2015-08-20,123.54,-0.00451248992747777,124.11999999999891,123.66763636363565,122.19780000000071
11198,2015-08-21,122.11,-0.0115751983163348,124.0357142857132,123.6230909090902,122.22270000000071
11199,2015-08-24,118.56,-0.02907214806322167,123.78904761904654,123.49545454545384,122.2109000000007
11200,2015-08-25,119.91,0.011386639676113308,123.63047619047512,123.40145454545383,122.22040000000072
11201,2015-08-26,119.07,-0.007005253940455369,123.41857142857036,123.30890909090837,122.22060000000073
11202,2015-08-27,120.89,0.01528512639623747,123.27714285714178,123.27563636363566,122.2259000000007
11203,2015-08-28,121.32,0.0035569526015384323,123.1314285714275,123.23381818181747,122.23950000000072
11204,2015-08-31,121.26,-0.0004945598417407382,123.00380952380846,123.1979999999993,122.24890000000072
11205,2015-09-01,119.94,-0.01088570014844148,122.81142857142751,123.13545454545383,122.24540000000071
11206,2015-09-02,120.0,0.0005002501250626068,122.62095238095132,123.07381818181746,122.24220000000072
11207,2015-09-03,120.2,0.0016666666666667052,122.39999999999893,123.00018181818109,122.25160000000072
11208,2015-09-04,119.05,-0.009567387687188122,122.13571428571322,122.93072727272656,122.24980000000072
11209,2015-09-08,119.72,0.005627887442251067,121.91904761904655,122.87654545454474,122.25520000000071
11210,2015-09-09,120.94,0.010190444370197227,121.74714285714178,122.83399999999929,122.27440000000071
11211,2015-09-10,120.71,-0.0019017694724656753,121.54761904761797,122.77945454545383,122.2888000000007
11212,2015-09-11,120.66,-0.0004142158893214454,121.39476190476083,122.71436363636292,122.3009000000007
